UnitID,UnitName,DistrictID,DistrictName,latitude,longitude,population
1001,Koramangala PS,1,Bengaluru Urban,12.999485,77.499602,9621551
1002,Vidhana Soudha PS,1,Bengaluru Urban,12.926606,77.539242,9621551
1003,Sadashivanagar PS,1,Bengaluru Urban,13.018894,77.62994,9621551
1004,Indiranagar PS,1,Bengaluru Urban,13.050036,77.511988,9621551
1005,Jayanagar PS,1,Bengaluru Urban,12.955984,77.500559,9621551
1006,Whitefield PS,1,Bengaluru Urban,12.915328,77.595671,9621551
1007,Malleswaram PS,1,Bengaluru Urban,12.876907,77.534368,9621551
1008,Shivajinagar PS,1,Bengaluru Urban,13.001577,77.603588,9621551
1009,Ulsoor PS,1,Bengaluru Urban,12.915688,77.612453,9621551
1010,Yelahanka PS,1,Bengaluru Urban,13.033486,77.4959,9621551
1011,Electronic City PS,1,Bengaluru Urban,13.032764,77.634228,9621551
1012,HSR Layout PS,1,Bengaluru Urban,12.93965,77.525696,9621551
1013,Banashankari PS,1,Bengaluru Urban,13.063043,77.561919,9621551
1014,Basavanagudi PS,1,Bengaluru Urban,12.890149,77.513943,9621551
1015,Peenya PS,1,Bengaluru Urban,13.041099,77.615345,9621551
1016,Nelamangala PS,2,Bengaluru Rural,13.353826,77.589746,990923
1017,Devanahalli PS,2,Bengaluru Rural,13.299646,77.638423,990923
1018,Hosakote PS,2,Bengaluru Rural,13.268107,77.554208,990923
1019,Doddaballapura PS,2,Bengaluru Rural,13.358281,77.567504,990923
1020,Vijayapura Town PS,2,Bengaluru Rural,13.364741,77.55927,990923
1021,Nandagudi PS,2,Bengaluru Rural,13.333314,77.452965,990923
1022,Dobbspet PS,2,Bengaluru Rural,13.23798,77.501678,990923
1023,Vishwanathapura PS,2,Bengaluru Rural,13.208358,77.490358,990923
1024,Devaraja PS,3,Mysuru,12.216,76.594995,3001127
1025,Nazarbad PS,3,Mysuru,12.322937,76.612366,3001127
1026,Lashkar PS,3,Mysuru,12.269836,76.581301,3001127
1027,Krishnaraja PS,3,Mysuru,12.249196,76.726731,3001127
